"FISCAL YEAR","COUNTY NUMBER","COUNTY NAME","TAXES LEVIED ON PROPERTY","LESS: UNCOLLECTED DELINQUENT TAXES - LEVY YEAR","LESS: CREDITS TO TAXPAYERS","NET CURRENT PROPERTY TAXES","DELINQUENT PROPERTY TAX REVENUE","PENALTIES, INTEREST & COSTS ON TAXES","OTHER COUNTY TAXES/TIF TAX REVENUES","INTERGOVERNMENTAL","LICENSES & PERMITS","CHARGES FOR SERVICE","USE OF MONEY & PROPERTY","MISCELLANEOUS","SUBTOTAL REVENUES","GENERAL LONG-TERM DEBT PROCEEDS","OPERATING TRANSFERS IN","PROCEEDS OF CAPITAL ASSET SALES","TOTAL REVENUES & OTHER SOURCES","LOCATION"
"2018","35","Franklin","6,277,554","940","380,684","5,895,930","1,149","38,630","3,926,537","6,154,037","22,662","593,722","247,813","750,092","17,630,572","963,074","2,341,040","36,965","20,971,651",
"2015","83","SHELBY","5,906,331","0","329,117","5,577,214","75","28,467","739,526","4,400,725","175,784","361,559","76,995","381,353","11,741,698","0","3,593,701","0","15,335,399",
"2017","19","CHICKASAW","5,430,968","1,663","363,418","5,065,887","112","26,938","922,412","5,891,943","21,599","1,308,749","113,450","197,426","13,548,516","0","2,069,500","16,997","15,635,013",
"2015","85","STORY","22,595,047","62,816","754,660","21,777,571","2,314","102,467","3,146,951","9,630,713","54,049","1,887,574","272,379","729,620","37,603,638","54,012","2,570,159","113,660","40,341,469",
"2012","94","WEBSTER","11,679,511","0","340,840","11,338,671","1,045","118,397","2,682,566","12,888,665","109,953","1,038,672","393,369","353,248","28,924,586","0","3,090,596","0","32,015,182",
"2024","18","CHEROKEE","6,434,577","0","229,069","6,205,508","6,546","40,444","1,248,256","5,625,852","117,246","462,887","564,911","226,583","14,498,233","0","2,050,000","61,134","16,609,367",
"2010","60","LYON","4,580,410","0","237,125","4,343,285","766","22,313","555,573","5,335,034","68,155","774,688","189,451","58,874","11,348,139","1,550,840","1,200,867","4,740","14,104,586",
"2011","20","CLARKE","3,846,121","3,357","150,812","3,691,952","543","50,237","350,499","3,386,959","8,175","279,490","40,454","522,112","8,330,421","871,010","800,000","0","10,001,431",
"2021","36","Fremont","5,878,374","1,160","315,025","5,562,189","63,611","72,842","786,393","5,978,224","23,371","375,067","136,252","354,530","13,352,479","234,279","1,356,480","167,517","15,110,755",
"2012","84","SIOUX","7,816,374","43,763","296,021","7,476,590","450","61,130","1,824,643","8,064,739","15,205","853,889","132,679","820,462","19,249,787","0","2,406,914","9,420","21,666,121",
"2012","7","BLACK HAWK","30,724,869","162,099","844,622","29,718,148","5,513","394,076","4,475,581","13,382,736","491,139","4,465,594","565,757","2,140,822","55,639,366","3,090,551","2,519,977","30,240","61,280,134",
"2022","69","MONTGOMERY","6,724,871","0","357,094","6,367,777","1,259","47,980","773,589","5,517,848","12,731","379,180","53,451","179,284","13,333,099","0","1,081,214","0","14,414,313",
"2022","39","GUTHRIE","9,427,278","0","0","9,427,278","1,373","89,755","1,219,866","5,827,759","1,104,298","1,026,898","104,416","939,347","19,740,990","8,799,109","2,824,267","0","31,364,366",
"2015","51","JEFFERSON","5,655,083","3,505","321,834","5,329,744","1,161","60,777","793,898","3,520,662","23,709","527,217","119,860","97,265","10,474,293","0","1,214,448","0","11,688,741",
"2012","62","MAHASKA","6,907,351","0","258,330","6,649,021","485","49,491","1,403,512","6,138,967","20,173","510,745","199,030","995,514","15,966,938","0","1,767,856","6,283","17,741,077",
"2010","28","DELAWARE","6,441,920","600","291,717","6,149,603","892","63,069","1,020,581","5,700,438","19,372","519,804","197,562","338,991","14,010,312","0","1,789,702","0","15,800,014",
"2014","18","CHEROKEE","5,318,975","266","265,883","5,052,826","1,184","31,300","986,757","4,107,556","40,420","351,725","54,135","269,551","10,895,454","0","1,485,000","3,947","12,384,401",
"2016","48","IOWA","7,959,972","8,331","444,077","7,507,564","16,490","60,528","1,795,104","5,567,977","27,871","1,977,987","381,229","412,378","17,747,128","0","1,321,419","0","19,068,547",
"2024","43","HARRISON","10,544,455","0","495,420","10,049,035","844","47,860","1,067,877","7,471,320","52,860","969,151","825,658","880,383","21,364,988","100,000","3,520,584","0","24,985,572",
"2010","72","OSCEOLA","2,646,166","0","173,633","2,472,533","7,346","28,627","483,953","3,012,671","21,205","359,030","79,650","57,315","6,522,330","0","1,341,057","0","7,863,387",
"2013","95","WINNEBAGO","4,122,522","0","0","4,122,522","5,657","53,630","1,327,241","3,381,512","15,988","1,020,742","113,024","105,563","10,145,879","0","1,497,187","0","11,643,066",
"2021","51","Jefferson","8,029,785","5,842","461,564","7,562,379","188,787","311,058","1,082,448","5,115,972","29,489","586,582","28,907","154,034","15,059,656","49,070","1,355,632","0","16,464,358",
"2010","13","CALHOUN","5,586,241","0","244,802","5,341,439","1,721","31,505","271,547","4,906,961","17,024","878,336","138,584","142,634","11,729,751","0","1,298,960","10,806","13,039,517",
"2014","50","JASPER","12,614,112","7,609","590,157","12,016,346","113","103,701","2,795,837","6,393,168","119,216","978,765","138,452","623,272","23,168,870","0","5,938,481","0","29,107,351",
"2019","46","Humboldt","5,671,999","0","319,993","5,352,006","788","30,008","807,619","3,531,707","32,175","356,677","156,196","318,324","10,585,500","1,946,980","15,000","169,330","12,716,810",
"2013","86","TAMA","7,645,417","6,076","375,694","7,263,647","354","59,738","863,850","5,762,462","23,352","594,486","222,071","471,781","15,261,741","7,450,000","2,177,946","2,525","24,892,212",
"2010","55","KOSSUTH","7,681,112","2,047","436,805","7,242,260","869","44,097","1,045,971","7,053,526","9,750","610,096","195,000","330,138","16,531,707","0","2,847,556","17,098","19,396,361",
"2015","78","POTTAWATTAMIE","42,009,780","0","1,459,542","40,550,238","15,402","387,169","9,256,552","20,408,467","345,704","2,725,299","144,436","2,247,865","76,081,132","7,008,800","11,972,742","0","95,062,674",
"2013","17","CERRO GORDO","14,772,725","0","0","14,772,725","15,171","152,979","2,269,129","7,144,889","120,712","1,288,461","251,059","1,317,120","27,332,245","0","5,327,612","20,600","32,680,457",
"2022","84","SIOUX","10,565,876","1,627","584,796","9,979,453","3,003","69,685","2,313,844","12,914,697","22,340","1,263,832","265,783","1,438,244","28,270,881","0","4,435,366","7,145","32,713,392",
"2023","85","STORY","28,147,360","138,421","963,291","27,045,648","-50,337","151,310","4,317,576","17,889,358","101,955","1,869,284","1,828,931","994,386","54,148,111","0","3,785,000","68,098","58,001,209",
"2023","26","DAVIS","4,729,582","0","0","4,729,582","0","40,237","1,329,757","5,170,995","23,795","332,621","215,668","1,395,798","13,238,453","0","1,172,909","0","14,411,362",
"2016","18","CHEROKEE","5,836,162","569","328,374","5,507,219","109","26,090","868,051","5,419,499","70,975","403,390","72,981","192,947","12,561,261","0","2,674,868","21,821","15,257,950",
"2017","95","WINNEBAGO","5,356,766","0","0","5,356,766","242","22,655","2,929,550","4,297,266","26,261","1,297,826","345,599","1,459,594","15,735,759","0","1,772,943","0","17,508,702",
"2011","46","HUMBOLDT","4,478,524","0","185,613","4,292,911","634","31,693","550,010","3,467,507","34,434","310,169","84,048","211,374","8,982,780","0","1,386,914","840","10,370,534",
"2017","21","CLAY","7,970,899","0","479,203","7,491,696","703","44,856","1,141,489","5,607,851","39,310","606,008","324,938","263,048","15,519,899","35,209","2,488,571","211,306","18,254,985",
"2015","4","APPANOOSE","4,001,057","0","328,113","3,672,944","6,647","74,798","1,155,531","3,925,304","2,445","361,480","14,822","149,319","9,363,290","141,508","716,957","0","10,221,755",
"2020","69","Montgomery","6,814,275","0","397,756","6,416,519","4,163","28,386","718,904","5,645,156","14,705","304,634","167,045","177,739","13,477,251","0","1,080,000","0","14,557,251",
"2021","19","Chickasaw","6,618,169","1,067","391,922","6,225,180","30,148","41,472","1,194,131","7,350,947","38,057","1,076,097","93,031","300,365","16,349,428","14,126","1,888,863","7,028","18,259,445",
"2022","52","JOHNSON","64,631,265","0","1,920,418","62,710,847","14,694","483,365","1,072,072","38,600,162","980,756","5,714,292","996,135","2,256,200","112,828,523","21,683,300","31,585,863","148,543","166,246,229",
"2023","46","HUMBOLDT","6,815,596","0","348,163","6,467,433","10,101","56,005","843,801","4,838,546","160,852","380,886","510,124","967,649","14,235,397","0","1,928,652","27,351","16,191,400",
"2010","50","JASPER","12,311,950","2,339","529,117","11,780,494","467","117,269","2,371,160","7,041,365","74,963","998,351","297,208","526,712","23,207,989","0","4,442,569","0","27,650,558",
"2014","71","OBRIEN","5,871,890","8,500","353,091","5,510,299","1,026","37,618","1,222,590","5,449,817","310,499","532,811","180,171","255,329","13,500,160","0","2,119,648","1,928","15,621,736",
"2021","4","Appanoose","4,680,235","0","357,318","4,322,917","112,129","103,211","1,488,361","6,273,465","5,824","432,816","30,073","84,684","12,853,480","8,612,323","801,080","0","22,266,883",
"2013","39","GUTHRIE","4,142,336","0","0","4,142,336","603","38,719","749,479","4,375,506","35,061","481,295","100,907","1,696,339","11,620,245","0","1,424,715","175","13,045,135",
"2021","2","Adams","4,562,563","0","257,054","4,305,509","22,420","29,114","651,338","5,782,522","17,325","777,565","73,245","75,678","11,734,716","0","1,167,089","0","12,901,805",
"2012","39","GUTHRIE","3,621,838","0","0","3,621,838","583","46,985","1,136,025","5,241,142","43,141","492,607","93,327","640,600","11,316,248","0","1,375,135","3,890","12,695,273",
"2019","29","Des Moines","13,815,446","5,212","945,437","12,864,797","6,542","129,171","2,534,282","6,834,642","54,968","1,009,036","513,030","530,530","24,476,998","2,357,638","3,201,900","96,833","30,133,369",
"2018","13","Calhoun","6,056,876","0","0","6,056,876","2,269","29,468","479,457","4,687,112","12,170","1,145,583","249,690","676,471","13,339,096","648,268","1,455,498","29,728","15,472,590",
"2011","83","SHELBY","4,704,835","0","152,192","4,552,643","196","36,679","868,042","5,602,745","228,363","359,460","145,246","295,818","12,089,192","0","3,065,207","9,201","15,163,600",
"2022","71","OBRIEN","7,242,614","0","339,703","6,902,911","611","40,679","1,026,577","7,512,193","126,332","722,973","235,731","207,450","16,775,457","0","4,149,959","49,598","20,975,014",
"2017","12","BUTLER","6,129,325","0","0","6,129,325","2,992","34,389","1,092,657","6,816,064","49,598","497,634","321,769","493,267","15,437,695","0","2,311,187","129","17,749,011",
"2024","79","POWESHIEK","8,679,388","0","0","8,679,388","86","49,217","1,581,858","5,461,817","130,955","659,489","1,131,771","350,204","18,044,785","0","4,708,857","108,820","22,862,462",
"2019","57","Linn","66,343,669","204,815","3,192,800","62,946,054","144,523","568,360","8,679,291","30,552,397","1,272,897","8,166,292","2,604,383","3,119,650","118,053,847","28,847,107","8,348,369","34,360","155,283,683",
"2022","37","GREENE","6,551,801","0","329,609","6,222,192","229","29,307","1,521,557","6,110,799","79,641","850,953","73,857","603,663","15,492,198","600,000","1,931,619","172,875","18,196,692",
"2023","70","MUSCATINE","16,835,357","47,356","398,851","16,389,150","7,198","132,398","2,830,628","11,684,438","116,313","1,188,278","2,506,614","583,132","35,438,149","3,350,000","8,459,296","17,000","47,264,445",
"2013","54","KEOKUK","4,504,626","81,678","201,949","4,220,999","1,442","38,680","157,936","2,996,317","13,081","589,701","387,123","192,042","8,597,321","0","1,271,500","0","9,868,821",
"2015","46","HUMBOLDT","5,082,679","0","269,343","4,813,336","949","33,127","553,247","3,331,694","28,555","343,362","281,212","205,204","9,590,686","800,000","1,735,152","14,957","12,140,795",
"2010","87","TAYLOR","2,532,628","11,208","141,615","2,379,805","3,665","31,874","268,258","3,641,126","13,447","156,365","70,469","116,537","6,681,546","0","662,281","589","7,344,416",
"2011","61","MADISON","4,522,072","4,137","146,536","4,371,399","2,190","67,861","913,853","4,505,496","49,048","946,642","94,265","58,972","11,009,726","1,182,000","1,379,200","1,500","13,572,426",
"2016","79","POWESHIEK","6,753,730","0","0","6,753,730","32","50,834","1,111,934","4,905,673","58,625","570,746","69,956","137,201","13,658,731","0","2,816,801","106,578","16,582,110",
"2017","72","OSCEOLA","4,168,823","0","266,631","3,902,192","678","18,391","897,971","3,362,842","32,854","343,814","66,114","104,616","8,729,472","0","2,020,468","0","10,749,940",
"2019","89","Van Buren","3,021,910","2,977","212,930","2,806,003","1,009","38,226","420,307","4,002,289","13,899","258,619","161,175","640,007","8,341,534","840,148","0","34,987","9,216,669",
"2016","11","BUENA VISTA","9,203,428","23,682","524,871","8,654,875","275","44,548","1,082,782","6,381,173","79,381","704,208","100,594","202,371","17,250,207","0","2,450,808","652","19,701,667",
"2022","7","BLACK HAWK","37,559,450","0","1,981,386","35,578,064","7,598","366,309","5,931,777","16,100,862","713,589","4,202,970","731,244","2,025,524","65,657,937","0","14,299,394","48,655","80,005,986",
"2011","89","VAN BUREN","2,323,452","5,253","131,117","2,187,082","679","38,124","325,821","3,506,625","12,957","337,487","147,258","149,135","6,705,168","0","592,453","0","7,297,621",
"2022","22","CLAYTON","8,208,262","0","0","8,208,262","1,139","44,368","1,982,377","8,238,250","48,194","562,805","163,058","524,213","19,772,666","29,265","2,000,000","143,296","21,945,227",
"2019","10","Buchanan","7,167,048","2,509","469,768","6,694,771","703","47,102","1,192,232","6,289,827","34,344","658,738","299,375","221,550","15,438,642","3,062,328","0","7,014","18,507,984",
"2014","11","BUENA VISTA","8,831,154","20,680","339,933","8,470,541","48,468","62,446","1,024,932","5,759,619","63,927","742,894","82,768","152,873","16,408,468","0","2,340,421","48,595","18,797,484",
"2011","74","PALO ALTO","5,683,832","0","219,440","5,464,392","544","30,022","870,200","3,958,005","9,026","610,184","226,668","262,424","11,431,465","0","1,226,782","0","12,658,247",
"2018","40","Hamilton","7,639,375","743","477,820","7,160,812","81","41,159","1,520,609","6,208,080","38,744","2,725,834","565,616","1,397,499","19,658,434","1,705,235","1,922,388","25,743","23,311,800",
"2011","15","CASS","5,151,611","9,444","233,570","4,908,597","730","49,672","926,310","6,269,576","70,685","361,681","163,000","371,879","13,122,130","87,000","1,918,821","0","15,127,951",
"2016","88","UNION","5,011,623","0","238,888","4,772,735","2,890","58,665","1,053,108","6,403,965","30,171","483,168","60,310","372,945","13,237,957","0","977,756","1,781","14,217,494",
"2024","23","CLINTON","21,646,711","0","0","21,646,711","16,816","149,575","3,198,364","12,599,304","75,819","1,339,112","2,168,325","684,692","41,878,718","0","2,456,200","35,000","44,369,918",
"2022","95","WINNEBAGO","7,265,448","0","396,193","6,869,255","5","25,067","3,805,491","5,195,214","23,585","1,098,426","259,160","251,005","17,527,208","0","3,197,080","19,350","20,743,638",
"2012","22","CLAYTON","7,443,723","178,642","294,257","6,970,824","4,137","58,305","1,454,805","6,292,219","28,615","486,463","190,177","819,484","16,305,029","900,509","1,400,000","157,656","18,763,194",
"2012","77","POLK","131,470,575","655,313","2,466,113","128,349,149","-40,360","1,308,418","5,538,826","79,173,103","862,407","12,385,983","3,090,402","2,190,525","232,858,453","0","19,575,415","114,331","252,548,199",
"2017","92","WASHINGTON","9,415,158","0","589,439","8,825,719","250","52,786","1,944,907","6,275,015","88,242","796,884","158,842","1,597,752","19,740,397","3,596,956","2,672,430","127","26,009,910",
"2021","29","Des Moines","14,910,875","4,197","1,135,721","13,770,957","373,632","188,390","3,153,948","11,575,643","75,907","1,079,088","244,846","409,751","30,872,162","4,853,312","2,537,638","575","38,263,687",
"2020","22","Clayton","8,686,648","280,471","524,538","7,881,639","339","23,439","1,488,765","6,535,739","42,196","577,600","292,088","244,625","17,086,430","6,667","1,750,000","49,531","18,892,628",
"2014","24","CRAWFORD","7,618,568","4,484","343,985","7,270,099","479","46,479","764,101","5,826,587","4,764","821,099","128,001","262,034","15,123,643","0","2,734,502","37,331","17,895,476",
"2010","82","SCOTT","37,170,577","19,609","937,678","36,213,290","19,609","790,006","5,772,934","19,848,194","525,427","4,490,156","373,198","625,592","68,658,406","13,270,756","8,007,463","56,905","89,993,530",
"2020","59","Lucas","3,534,215","0","239,436","3,294,779","9,074","27,787","674,755","4,237,328","1,875","232,844","87,357","190,153","8,755,952","0","751,530","0","9,507,482",
"2017","44","HENRY","6,827,470","0","479,636","6,347,834","3,809","57,928","1,100,922","4,877,280","22,815","540,111","112,366","310,127","13,373,192","0","1,495,655","50,153","14,919,000",
"2023","63","MARION","14,367,190","0","746,175","13,621,015","743","70,302","1,922,299","14,171,111","64,245","1,987,439","409,445","462,812","32,709,411","0","3,008,110","181,797","35,899,318",
"2013","81","SAC","4,978,576","7,726","254,008","4,716,842","1,051","25,585","593,767","7,041,055","17,085","1,106,398","41,719","193,828","13,737,330","0","1,319,396","110,484","15,167,210",
"2020","1","Adair","5,264,103","0","267,371","4,996,732","135","18,860","3,539,502","5,144,879","14,133","244,164","126,958","392,714","14,478,077","9,777,917","1,322,396","0","25,578,390",
"2020","7","Black Hawk","35,167,601","0","0","35,167,601","90,718","229,286","4,839,622","15,180,287","679,300","4,177,262","893,194","1,878,428","63,135,698","9,074,360","10,548,867","57,591","82,816,516",
"2012","33","FAYETTE","7,130,497","2,950","311,193","6,816,354","1,333","79,502","839,605","6,644,354","37,955","847,225","85,098","578,048","15,929,474","0","1,702,282","30,528","17,662,284",
"2013","66","MITCHELL","4,768,351","0","217,977","4,550,374","309","23,475","1,414,363","3,889,095","10,827","884,838","340,477","1,243,486","12,357,244","7,001,408","1,492,118","902","20,851,672",
"2014","56","LEE","10,052,611","16,644","565,819","9,470,148","15,098","151,509","2,122,041","7,942,533","102,640","1,011,744","245,195","765,369","21,826,277","650,000","1,589,525","0","24,065,802",
"2010","77","POLK","122,080,747","453,630","2,672,182","118,954,935","56,774","1,603,084","5,452,714","79,148,593","434,727","11,188,195","5,364,726","2,356,192","224,559,940","0","20,547,356","1,376,279","246,483,575",
"2015","73","PAGE","4,679,366","0","328,177","4,351,189","15,965","81,672","576,485","3,904,266","13,732","378,819","59,740","427,643","9,809,511","0","1,285,605","0","11,095,116",
"2010","8","BOONE","6,858,256","1,875","276,448","6,579,933","8,136","98,444","1,017,765","6,747,271","15,590","932,710","188,136","227,742","15,815,727","3,605,221","2,024,871","42,236","21,488,055",
"2021","56","Lee","13,544,614","11,634","900,517","12,632,463","282,975","241,464","3,398,298","14,026,376","357,023","1,099,438","492,997","474,164","33,005,198","10,270,000","2,560,641","0","45,835,839",
"2012","48","IOWA","6,523,872","6,950","226,602","6,290,320","5,490","44,856","2,681,953","5,695,515","27,368","980,523","361,750","263,396","16,351,171","2,070,000","1,223,638","0","19,644,809",
"2017","45","HOWARD","5,222,279","0","323,710","4,898,569","103","34,432","2,503,571","4,649,474","20,285","428,810","148,579","1,074,974","13,758,797","0","1,940,244","100","15,699,141",
"2013","22","CLAYTON","7,286,257","1,745","370,230","6,914,282","1,006","54,955","1,685,540","5,382,546","28,948","523,536","160,487","1,223,652","15,974,952","0","1,453,683","19,181","17,447,816",
"2015","15","CASS","6,578,945","118","363,393","6,215,434","1,134","47,295","1,030,631","6,627,501","21,353","348,535","171,928","295,676","14,759,487","425,000","2,523,101","0","17,707,588",
"2018","89","Van Buren","2,579,346","3,402","204,033","2,371,911","-328","37,503","419,472","6,125,404","16,946","248,744","145,776","311,848","9,677,276","0","729,533","25,106","10,431,915",
"2010","40","HAMILTON","6,298,527","0","255,336","6,043,191","383","41,407","1,102,785","6,396,280","10,630","1,147,067","98,564","182,095","15,022,402","1,000,000","2,517,859","0","18,540,261",
"2016","56","LEE","11,123,193","36,468","869,907","10,216,818","2,792","141,406","2,583,310","12,299,813","193,837","1,080,980","403,944","5,308,237","32,231,137","6,089,907","1,710,982","0","40,032,026",
"2020","54","Keokuk","6,330,138","450,054","400,790","5,479,294","810","19,126","551,784","4,676,162","39,720","536,047","210,727","113,027","11,626,697","0","2,087,395","0","13,714,092",
"2014","39","GUTHRIE","4,260,481","0","0","4,260,481","6,345","49,047","663,957","4,447,901","31,302","539,516","98,076","507,389","10,604,014","0","1,477,649","2,708","12,084,371",
"2010","99","WRIGHT","5,211,733","0","234,592","4,977,141","457","43,351","511,275","7,169,001","11,095","543,152","194,276","333,589","13,783,337","1,093,925","1,713,087","1,401","16,591,750",
"2016","23","CLINTON","16,894,971","0","1,054,826","15,840,145","45,303","170,490","2,659,143","8,192,637","52,924","1,052,436","216,416","330,470","28,559,964","0","1,988,306","1,543","30,549,813",
"2013","7","BLACK HAWK","31,574,243","165,684","977,830","30,430,729","11,393","388,657","4,277,471","16,238,651","501,327","4,697,079","924,178","2,059,018","59,528,503","2,080,548","2,995,197","37,883","64,642,131",
"2021","34","Floyd","8,254,983","0","528,796","7,726,187","157,900","146,015","1,856,773","8,026,920","48,983","608,490","139,096","605,875","19,316,239","0","1,505,917","0","20,822,156",
"2012","74","PALO ALTO","6,106,747","0","216,832","5,889,915","476","31,869","951,944","4,131,572","8,889","627,158","119,392","333,890","12,095,105","0","1,283,252","0","13,378,357",
"2012","11","BUENA VISTA","8,166,559","93,972","250,549","7,822,038","594","44,270","1,138,726","5,310,649","48,815","792,352","92,611","87,035","15,337,090","0","2,157,718","12,485","17,507,293",
"2016","6","BENTON","8,974,879","2,545","639,619","8,332,715","20,767","57,763","1,050,127","7,635,400","65,233","824,979","101,044","370,349","18,458,377","402,642","3,670,595","45,325","22,576,939",
"2023","90","WAPELLO","9,771,964","0","673,862","9,098,102","7,645","161,821","2,709,324","5,763,384","127,981","841,960","891,610","1,185,315","20,787,142","0","1,322,000","16,704","22,125,846",
"2024","54","KEOKUK","6,430,615","255,830","332,278","5,842,507","2,112","40,679","737,757","4,756,375","60,684","465,823","458,507","275,195","12,639,639","0","2,152,950","0","14,792,589",
"2023","21","CLAY","8,620,488","0","525,281","8,095,207","1,079","41,349","1,743,528","6,099,610","25,265","651,368","747,736","536,034","17,941,176","720,000","2,932,014","5,296","21,598,486",
"2018","72","Osceola","4,331,684","0","296,530","4,035,154","511","18,629","788,555","3,325,458","35,055","383,477","112,321","1,064,760","9,763,920","2,915,037","1,729,022","647","14,408,626",
"2021","87","Taylor","4,711,091","0","296,260","4,414,831","48,284","57,741","394,991","6,501,563","8,095","415,758","45,359","223,792","12,110,414","0","962,162","0","13,072,576",
"2018","99","Wright","7,167,981","2,374","463,732","6,701,875","2,374","48,830","1,696,859","6,705,764","44,117","578,780","290,397","318,576","16,387,572","4,602,085","2,302,900","8,500","23,301,057",
"2014","82","SCOTT","48,348,396","19,214","1,427,445","46,901,737","19,214","930,986","6,419,936","15,019,054","781,072","5,710,597","175,564","1,070,437","77,028,597","0","14,093,483","104,183","91,226,263",
"2018","20","Clarke","4,523,081","0","0","4,523,081","2,123","40,662","347,299","4,393,105","39,142","309,252","59,036","337,933","10,051,633","0","808,589","0","10,860,222",
"2013","91","WARREN","12,311,449","4,759","399,249","11,907,441","6,207","129,453","436,125","9,485,985","54,715","1,254,529","76,566","543,561","23,894,582","0","2,923,023","3,417","26,821,022",
"2024","86","TAMA","10,570,727","3,609","425,376","10,141,742","4,571","66,428","1,436,406","8,795,417","48,563","885,586","590,348","973,588","22,942,649","0","4,193,650","17,869","27,154,168",
"2014","99","WRIGHT","6,424,973","0","314,193","6,110,780","664","47,141","789,211","6,767,876","13,890","596,293","272,080","258,440","14,856,375","0","1,917,801","3,195","16,777,371",
"2020","91","Warren","15,566,280","0","0","15,566,280","322","54,053","2,525,075","7,926,712","126,015","1,530,946","644,844","401,191","28,775,438","34,764,874","3,416,213","2,720","66,959,245",
"2016","38","GRUNDY","5,508,008","0","0","5,508,008","11","30,446","609,845","12,272,941","16,195","379,101","55,618","254,393","19,126,558","0","1,608,568","0","20,735,126",
"2017","66","MITCHELL","5,317,330","0","284,174","5,033,156","942","27,234","4,297,590","6,120,734","13,082","942,404","894,275","365,013","17,694,430","1,301,920","1,290,000","1,256","20,287,606",
"2023","53","JONES","9,431,723","1,432","534,566","8,895,725","382","44,052","1,491,674","7,082,340","87,106","698,063","566,106","950,898","19,816,346","0","3,191,594","61,760","23,069,700",
"2013","49","JACKSON","5,550,498","0","269,736","5,280,762","499","54,415","979,591","4,662,140","36,099","638,508","318,848","253,643","12,224,505","0","990,000","9,103","13,223,608",
"2018","67","Monona","5,695,886","0","0","5,695,886","1,429","34,592","431,344","5,361,664","10,463","274,946","131,803","279,485","12,221,612","103,951","1,673,796","119,769","14,119,128",
"2013","71","OBRIEN","5,587,919","2,498","212,082","5,373,339","700","36,556","1,231,175","4,750,052","111,692","499,297","180,899","165,594","12,349,304","1,511,213","1,739,612","37,240","15,637,369",
"2015","58","LOUISA","4,918,630","4,865","267,627","4,646,138","848","46,090","1,256,190","9,353,631","19,483","608,320","35,122","94,817","16,060,639","5,249","2,052,184","1,446","18,119,518",
"2015","41","HANCOCK","5,151,789","0","240,650","4,911,139","172","36,564","607,936","4,052,649","18,842","373,105","231,642","337,524","10,569,573","0","2,260,894","0","12,830,467",
"2018","25","Dallas","23,290,145","0","0","23,290,145","4,775","151,495","480,645","8,083,102","237,429","3,254,403","750,349","1,155,898","37,408,241","28,807,391","8,916,442","0","75,132,074",
"2011","5","AUDUBON","3,372,780","18,192","162,355","3,192,233","3,974","27,868","376,515","3,805,596","18,043","249,121","42,867","99,093","7,815,310","0","692,902","0","8,508,212",
"2016","16","CEDAR","8,475,216","0","487,474","7,987,742","732","44,158","967,457","6,243,337","36,331","1,151,935","177,416","147,400","16,756,508","35,217","2,176,019","20,550","18,988,294",
"2013","27","DECATUR","2,248,082","0","0","2,248,082","2,626","33,658","314,193","4,087,882","8,287","275,663","15,953","228,432","7,214,776","210,000","464,424","0","7,889,200",
"2016","1","ADAIR","4,783,099","2,580","289,863","4,490,656","607","34,859","2,350,308","5,243,705","12,863","228,067","52,459","187,025","12,600,549","5,248,500","1,829,912","33,816","19,712,777",
"2011","42","HARDIN","6,304,802","0","244,406","6,060,396","1,784","57,544","1,072,535","7,323,950","12,392","515,601","198,211","484,935","15,727,348","985,000","3,142,609","0","19,854,957",
"2018","8","Boone","7,950,160","3,454","424,872","7,521,834","0","67,583","1,507,977","5,756,081","37,760","1,163,638","285,679","689,900","17,030,452","102,089","2,747,190","0","19,879,731",
"2012","16","CEDAR","6,800,435","8,167","229,233","6,563,035","970","47,961","789,714","6,454,075","61,294","1,064,433","149,051","127,117","15,257,650","30,000","1,942,526","26,929","17,257,105",
"2021","74","Palo Alto","7,148,761","0","331,343","6,817,418","54,725","43,741","1,851,158","6,209,465","62,980","699,886","269,628","394,614","16,403,615","0","2,704,711","0","19,108,326",
"2017","34","FLOYD","6,003,021","0","453,103","5,549,918","53","39,187","1,657,533","6,909,803","42,344","500,787","237,188","597,177","15,533,990","6,454,861","1,234,741","4,101","23,227,693",
"2016","28","DELAWARE","8,696,671","3,444","549,225","8,144,002","-2,272","48,494","1,224,611","6,356,403","36,955","571,659","160,227","400,271","16,940,350","0","2,276,497","0","19,216,847",
"2010","92","WASHINGTON","7,106,821","0","0","7,106,821","1,156","79,930","3,421,170","6,812,717","54,187","672,354","175,359","355,685","18,679,379","905","1,698,328","2,651","20,381,263",
"2014","88","UNION","5,280,008","0","271,987","5,008,021","2,762","56,498","1,067,312","3,898,924","14,810","500,788","40,406","514,625","11,104,146","0","698,141","11,563","11,813,850",
"2018","57","Linn","66,677,662","165,070","3,374,091","63,138,501","31,094","546,291","8,820,217","31,517,550","1,100,727","7,666,211","1,427,077","3,337,570","117,585,238","17,149,618","18,282,480","129,940","153,147,276",
"2017","8","BOONE","7,981,803","1,474","423,715","7,556,614","1,934","76,462","1,511,403","5,603,556","45,380","1,359,958","175,597","810,591","17,141,495","100,000","3,125,536","37,069","20,404,100",
"2015","26","DAVIS","2,927,608","0","0","2,927,608","589","40,963","552,897","3,634,470","4,449","173,901","111,503","233,899","7,680,279","0","754,846","0","8,435,125",
