"FISCAL YEAR","COUNTY NUMBER","County","PUBLIC SAFETY AND LEGAL SERVICES","PHYSICAL HEALTH SOCIAL SERVICES","MENTAL HEALTH, ID & DD","COUNTY ENVIRONMENT AND EDUCATION","ROADS & TRANSPORTATION","GOVERNMENT SERVICES TO RESIDENTS","ADMINISTRATION","NONPROGRAM CURRENT","DEBT SERVICE","CAPITAL PROJECTS","SUBTOTAL EXPENDITURES","OPERATING TRANSFERS OUT","REFUNDED DEBT/PAYMENTS TO ESCROW","TOTAL EXPENDITURES & OTHER USES","Primary County Coordinates"
"2018","20","CLARKE","2,038,839","863,476","229,236","333,600","3,439,332","483,682","1,225,858","0","594,512","481,877","9,690,412","808,589","0","10,499,001",
"2013","91","WARREN","4,503,918","3,135,749","3,646,385","1,225,488","5,920,229","830,072","2,587,823","17,742","46,335","1,273,003","23,186,744","2,923,023","0","26,109,767",
"2024","86","TAMA","5,131,386","2,052,720","0","1,047,900","10,021,168","785,992","3,067,394","1,551","921,885","1,654,253","24,684,249","4,193,650","0","28,877,899",
"2014","99","WRIGHT","1,954,130","3,881,345","896,637","900,270","4,784,213","508,488","1,237,947","24,816","305,891","715,570","15,209,307","1,917,801","0","17,127,108",
"2020","91","WARREN","6,860,091","2,476,983","1,597,920","1,597,244","8,468,772","1,040,907","3,073,253","0","2,334,044","10,474,902","37,924,116","3,416,213","0","41,340,329",
"2016","38","GRUNDY","1,832,189","480,003","708,355","922,789","5,328,696","400,610","1,674,401","0","6,540,007","734,195","18,621,245","1,608,568","0","20,229,813",
"2017","66","MITCHELL","1,746,015","1,694,305","583,325","1,900,949","4,180,670","359,971","1,458,907","0","4,029,923","1,645,527","17,599,592","1,290,000","0","18,889,592",
"2023","53","JONES","4,154,719","927,298","0","2,236,516","9,129,598","879,801","3,390,041","127,816","0","748,820","21,594,609","3,191,594","0","24,786,203",
"2013","49","JACKSON","1,878,845","301,780","1,919,644","1,508,735","4,725,067","590,085","1,534,383","0","0","795,689","13,254,228","990,000","0","14,244,228",
"2018","67","MONONA","2,024,202","403,155","206,517","781,138","7,116,238","442,618","1,569,471","104,590","158,995","343,619","13,150,543","1,673,796","0","14,824,339",
"2013","71","OBRIEN","2,858,500","385,692","1,197,190","943,967","3,699,553","525,721","1,061,457","6,456","2,502,239","1,109,004","14,289,779","1,739,612","0","16,029,391",
"2015","58","LOUISA","2,718,382","688,072","325,765","3,933,472","3,296,043","300,265","1,032,398","0","361,721","2,736,488","15,392,606","2,052,184","0","17,444,790",
"2015","41","HANCOCK","1,620,594","294,311","541,347","535,339","4,836,002","399,527","1,019,742","807","0","370,808","9,618,477","2,260,894","0","11,879,371",
"2018","25","DALLAS","11,984,812","2,662,329","2,762,717","4,548,703","7,361,528","2,245,448","1,792,648","193,051","2,999,604","7,266,688","43,817,528","8,916,442","5,587,161","58,321,131",
"2011","5","AUDUBON","1,050,246","564,468","742,892","1,290,457","2,924,470","313,865","668,884","511","81,311","36,149","7,673,253","692,902","0","8,366,155",
"2016","16","CEDAR","3,608,342","1,343,723","1,171,851","1,357,441","6,114,430","497,933","1,421,204","6,022","0","534,686","16,055,632","2,176,019","0","18,231,651",
"2013","27","DECATUR","974,567","1,247,627","688,464","392,935","3,024,063","262,430","614,052","1,200","576,455","124,847","7,906,640","464,424","0","8,371,064",
"2016","1","ADAIR","1,352,345","320,981","318,902","518,186","4,342,173","420,026","782,745","0","1,368,848","4,682,218","14,106,424","1,829,912","0","15,936,336",
"2011","42","HARDIN","3,347,362","206,734","1,728,157","877,545","5,129,271","409,470","1,491,637","126,072","803,308","1,570,302","15,689,858","3,142,609","0","18,832,467",
"2018","8","BOONE","3,871,154","617,089","587,578","1,537,760","6,453,913","606,656","1,813,086","152,898","470,527","1,337,555","17,448,216","2,747,190","0","20,195,406",
"2012","16","CEDAR","3,030,290","1,223,652","2,587,730","1,365,761","4,713,465","437,475","1,331,406","6,602","0","696,882","15,393,263","1,942,526","0","17,335,789",
"2021","74","PALO ALTO","2,210,921","302,801","163,760","1,520,008","5,339,376","495,704","1,283,796","0","1,852,976","363,351","13,532,693","2,704,711","0","16,237,404",
"2017","34","FLOYD","2,783,940","1,215,127","1,161,418","1,042,931","5,750,435","610,645","1,192,106","0","942,008","775,870","15,474,480","1,234,741","0","16,709,221",
"2016","28","DELAWARE","2,531,374","334,616","1,294,325","884,270","5,141,615","837,492","1,473,292","35,499","512,505","3,840,313","16,885,301","2,276,497","0","19,161,798",
"2010","92","WASHINGTON","3,790,664","2,369,253","1,663,571","789,325","4,407,314","592,481","1,603,903","60,211","2,297,776","308,597","17,883,095","1,698,328","0","19,581,423",
"2014","88","UNION","1,610,074","445,402","1,273,496","1,692,344","3,345,041","448,619","1,034,796","0","1,539,439","293,625","11,682,836","698,141","0","12,380,977",
"2018","57","LINN","28,666,217","15,794,853","11,077,210","7,628,335","12,861,993","4,845,341","16,201,463","0","2,181,500","19,473,489","118,730,401","18,282,480","9,695,000","146,707,881",
"2017","8","BOONE","3,810,725","587,569","725,461","1,084,494","5,986,320","591,323","1,812,330","505,693","746,453","667,677","16,518,045","3,125,536","0","19,643,581",
"2015","26","DAVIS","1,097,687","273,912","336,926","433,646","3,365,808","345,899","809,530","23,205","173,083","811,692","7,671,388","754,846","0","8,426,234",
"2010","67","MONONA","1,542,563","681,751","907,090","508,426","4,761,331","358,099","1,236,349","0","51,161","653,206","10,699,976","1,051,250","0","11,751,226",
"2012","43","HARRISON","2,073,968","1,390,604","2,334,135","896,333","4,700,693","493,835","1,820,213","0","449,867","665,803","14,825,451","1,573,400","0","16,398,851",
"2012","54","KEOKUK","1,002,877","538,931","1,039,757","352,028","4,076,699","334,582","1,763,625","0","2,676","529,239","9,640,414","1,206,374","0","10,846,788",
"2023","39","GUTHRIE","2,941,072","2,965,763","0","1,940,936","8,001,275","565,483","1,984,061","35,801","2,263,065","2,690,253","23,387,709","2,925,767","0","26,313,476",
"2020","40","HAMILTON","3,567,264","1,613,895","1,924,423","1,993,466","6,813,430","516,984","1,785,562","0","3,319,400","2,428,944","23,963,368","4,678,350","0","28,641,718",
"2019","5","AUDUBON","1,481,456","681,969","239,965","656,634","4,376,672","380,357","729,232","0","375,237","1,381,031","10,302,553","2,486,605","0","12,789,158",
"2021","61","MADISON","3,689,837","818,966","426,685","989,540","5,950,685","647,261","1,726,959","0","198,369","4,200,007","18,648,309","2,427,168","0","21,075,477",
"2019","74","PALO ALTO","2,120,147","364,244","90,470","1,678,271","4,277,581","476,861","1,354,510","0","2,517,908","6,406,764","19,286,756","3,204,712","0","22,491,468",
"2016","33","FAYETTE","3,675,839","434,779","1,155,742","1,509,007","5,926,004","606,977","1,369,780","26,688","118,371","1,198,127","16,021,314","1,893,954","0","17,915,268",
"2019","25","DALLAS","12,290,427","2,107,380","4,196,878","4,655,232","9,592,184","2,147,301","1,973,252","73,114","4,117,248","13,232,345","54,385,361","6,935,542","0","61,320,903",
"2023","58","LOUISA","4,288,405","904,761","0","1,027,290","4,143,126","464,038","2,007,306","35,000","0","399,330","13,269,256","2,070,229","0","15,339,485",
"2017","77","POLK","72,790,134","35,825,229","21,155,707","14,364,564","10,792,329","7,747,756","33,849,201","0","19,462,267","27,486,745","243,473,932","26,346,273","64,819,767","334,639,972",
"2024","75","PLYMOUTH","5,941,240","474,554","0","1,903,681","11,548,335","1,042,697","3,298,624","0","621,210","1,656,884","26,487,225","5,465,383","0","31,952,608",
"2019","53","JONES","3,116,311","756,608","693,951","1,599,487","6,385,498","737,166","1,756,265","85,676","450,000","2,335,180","17,916,142","2,245,079","0","20,161,221",
"2020","33","FAYETTE","4,101,655","406,391","806,146","1,808,835","6,196,263","685,088","1,388,052","14,665","0","2,279,484","17,686,579","4,536,736","0","22,223,315",
"2023","7","BLACK HAWK","22,385,889","7,424,557","0","3,047,313","8,396,321","2,529,820","7,028,587","0","5,681,377","5,706,896","62,200,760","21,149,750","0","83,350,510",
"2016","75","PLYMOUTH","3,896,311","359,915","654,081","977,723","7,369,293","829,518","2,977,414","0","2,250,437","2,182,063","21,496,755","3,924,355","0","25,421,110",
"2011","57","LINN","23,459,578","22,733,319","32,457,453","6,312,279","12,054,848","3,981,800","11,392,117","28,303","333,434","29,959,608","142,712,739","15,438,902","0","158,151,641",
"2012","1","ADAIR","1,151,852","250,758","799,031","443,589","3,981,891","279,894","694,211","0","268,250","1,987,942","9,857,418","1,357,600","0","11,215,018",
"2021","89","VAN BUREN","1,472,803","538,436","261,543","430,813","5,213,920","319,652","637,465","12,579","0","53,723","8,940,934","1,005,000","0","9,945,934",
"2023","95","WINNEBAGO","3,160,850","1,410,711","0","1,301,431","4,498,932","742,978","1,752,880","9,435","3,075,064","1,630,934","17,583,215","2,394,536","0","19,977,751",
"2011","10","BUCHANAN","2,705,557","472,467","2,850,076","1,141,743","5,263,492","606,249","1,326,594","45,490","386,950","1,254,541","16,053,159","2,031,317","0","18,084,476",
"2013","34","FLOYD","2,121,274","1,505,975","1,033,126","770,402","4,920,061","578,066","1,127,889","0","380,428","358,613","12,795,834","1,178,517","0","13,974,351",
"2014","67","MONONA","1,690,467","512,870","652,336","709,859","4,634,172","445,222","1,345,315","0","48,044","229,373","10,267,658","1,337,139","0","11,604,797",
"2019","42","HARDIN","4,757,198","351,202","459,464","1,067,125","6,778,504","530,408","1,984,930","88,648","1,953,316","2,080,494","20,051,289","2,106,398","0","22,157,687",
"2020","72","OSCEOLA","1,714,774","212,218","90,676","2,530,049","5,082,804","315,976","959,439","155,658","1,330,381","16,112","12,408,087","1,472,768","0","13,880,855",
"2021","24","CRAWFORD","2,701,172","2,305,667","699,092","1,133,573","8,669,679","657,611","1,522,660","0","155,540","884,133","18,729,127","3,604,045","0","22,333,172",
"2019","22","CLAYTON","3,053,103","468,241","630,105","1,241,173","6,970,157","665,727","1,818,162","0","346,455","1,217,970","16,411,093","1,800,538","0","18,211,631",
"2016","92","WASHINGTON","4,327,329","2,257,742","640,728","1,057,473","6,055,545","655,377","1,768,724","48,151","1,391,978","556,912","18,759,959","2,436,205","14,900,000","36,096,164",
"2015","27","DECATUR","1,131,394","1,120,774","608,585","468,586","3,369,048","280,100","843,002","0","249,591","699,821","8,770,901","556,514","0","9,327,415",
"2021","83","SHELBY","2,624,419","697,662","265,203","485,153","6,328,733","411,132","1,567,612","27,090","176,798","855,013","13,438,815","4,268,007","0","17,706,822",
"2019","93","WAYNE","1,756,990","1,013,421","529,786","409,024","2,913,016","260,237","890,739","215,000","265,487","947,487","9,201,187","659,807","0","9,860,994",
"2022","11","BUENA VISTA","4,846,772","1,665,012","683,306","2,131,653","5,870,991","972,357","2,185,344","309,904","1,402,504","1,825,600","21,893,443","3,090,878","0","24,984,321",
"2011","32","EMMET","1,485,609","623,488","1,513,257","349,646","2,560,928","362,283","941,924","0","15,300","30,962","7,883,397","852,293","0","8,735,690",
"2024","11","BUENA VISTA","5,960,687","1,613,412","0","1,263,998","6,580,670","1,067,042","2,886,912","345,330","1,321,381","2,108,125","23,147,557","3,490,237","0","26,637,794",
"2014","4","APPANOOSE","1,990,089","761,129","790,066","517,216","3,556,094","464,278","1,119,118","0","200,212","728,797","10,126,999","727,264","0","10,854,263",
"2024","89","VAN BUREN","1,879,401","736,321","0","604,207","4,216,785","375,367","944,154","6,338","0","1,307,465","10,070,038","1,213,549","0","11,283,587",
"2019","69","MONTGOMERY","3,198,661","496,039","214,725","410,171","4,463,158","389,665","1,680,507","0","1,261,820","890,856","13,005,602","1,010,000","0","14,015,602",
"2022","26","DAVIS","1,886,421","368,807","366,725","468,163","5,859,879","461,848","1,376,483","56,179","400,205","1,903,612","13,148,322","1,144,414","0","14,292,736",
"2017","76","POCAHONTAS","1,900,151","1,258,693","472,214","1,054,955","4,332,832","305,349","1,406,904","9,053","0","13,015","10,753,166","1,090,000","0","11,843,166",
"2018","36","FREMONT","3,095,187","192,201","329,537","420,756","4,261,529","415,287","1,148,133","0","458,471","2,921","10,324,022","1,384,331","0","11,708,353",
"2016","43","HARRISON","2,559,026","1,558,742","476,223","1,075,956","7,252,406","566,247","1,391,680","0","1,497,776","293,333","16,671,389","2,050,000","0","18,721,389",
"2020","55","KOSSUTH","3,468,236","338,489","700,455","1,143,065","7,561,789","972,401","2,681,334","56,224","0","2,253,491","19,175,484","3,143,749","0","22,319,233",
"2017","3","ALLAMAKEE","2,177,453","655,540","822,985","2,793,518","6,236,508","484,228","1,040,120","7,227","409,670","5,132,964","19,760,213","1,743,805","0","21,504,018",
"2022","58","LOUISA","3,577,102","811,834","260,722","854,112","4,338,554","424,836","1,561,683","0","0","469,687","12,298,530","2,412,784","0","14,711,314",
"2020","77","POLK","85,075,160","38,448,705","24,745,039","18,126,533","12,999,674","8,991,348","37,506,535","0","51,971,823","31,215,170","309,079,987","26,719,295","52,745,000","388,544,282",
"2012","81","SAC","2,155,768","590,822","1,570,232","686,905","4,152,009","399,334","1,158,999","0","48,634","245,397","11,008,100","1,250,669","0","12,258,769",
"2024","60","LYON","4,043,472","653,447","0","1,185,807","8,574,237","654,504","1,622,289","104,607","1,069,019","766,482","18,673,864","8,238,551","0","26,912,415",
"2018","77","POLK","73,982,865","37,924,736","21,978,560","14,049,618","10,458,021","7,760,563","34,397,839","0","18,870,646","48,781,217","268,204,065","17,340,379","14,630,000","300,174,444",
"2017","88","UNION","1,682,307","436,159","509,478","2,610,021","3,677,928","505,521","946,017","0","1,444,053","323,195","12,134,679","1,075,887","0","13,210,566",
"2014","60","LYON","2,830,918","783,180","376,071","972,028","4,989,651","472,197","1,085,996","89,923","243,022","890,108","12,733,094","2,435,549","0","15,168,643",
"2018","92","WASHINGTON","4,794,396","1,995,237","693,211","1,119,309","5,809,685","809,247","1,731,666","3,398","2,518,756","1,668,107","21,143,012","2,772,456","0","23,915,468",
"2020","26","DAVIS","1,828,951","284,131","532,630","741,687","4,703,507","410,200","1,131,012","33,918","400,905","1,093,967","11,160,908","914,086","0","12,074,994",
"2021","88","UNION","1,926,125","532,748","484,736","573,921","4,030,514","486,754","1,144,661","13,846","2,040,682","156,713","11,390,700","1,052,658","0","12,443,358",
"2012","26","DAVIS","1,021,633","313,094","765,715","338,908","3,779,086","321,668","868,558","3,532","67,542","695,478","8,175,214","570,450","0","8,745,664",
"2016","15","CASS","2,394,947","449,306","664,843","474,697","4,541,709","538,462","1,291,167","983,909","577,998","1,174,889","13,091,927","3,271,964","0","16,363,891",
"2013","98","WORTH","2,088,913","854,388","719,501","919,701","2,348,143","349,655","1,134,791","0","1,320,492","2,334,332","12,069,916","1,136,630","0","13,206,546",
"2019","96","WINNESHIEK","3,337,084","1,216,199","833,411","2,400,170","8,265,343","584,651","2,753,208","1,821","0","1,539,339","20,931,226","2,742,101","0","23,673,327",
"2013","10","BUCHANAN","2,927,362","540,022","1,726,548","1,219,709","4,546,615","622,870","1,342,887","46,301","537,403","1,228,123","14,737,840","2,244,540","0","16,982,380",
"2011","37","GREENE","1,342,366","378,568","1,185,323","760,392","4,071,308","324,515","1,335,953","24,000","0","235,542","9,657,967","1,168,500","0","10,826,467",
"2021","25","DALLAS","14,236,001","1,854,813","2,790,284","2,952,698","9,907,691","2,354,751","2,031,433","5,149","2,324,065","4,506,926","42,963,811","13,137,413","0","56,101,224",
"2015","69","MONTGOMERY","2,048,152","409,385","1,208,343","413,398","4,148,197","372,612","1,038,501","0","411,898","570,506","10,620,992","790,173","0","11,411,165",
"2020","11","BUENA VISTA","4,284,001","1,367,989","823,336","1,628,860","6,058,193","912,502","1,934,288","107,910","1,187,705","806,303","19,111,087","2,831,445","0","21,942,532",
"2024","50","JASPER","8,653,519","1,882,149","0","9,986,613","13,222,089","1,608,895","5,063,843","95,475","2,099,694","1,864,221","44,476,498","9,042,301","0","53,518,799",
"2013","3","ALLAMAKEE","1,594,965","652,249","1,209,344","870,293","4,678,034","418,072","898,243","26,381","0","1,067,236","11,414,817","1,467,413","0","12,882,230",
"2024","92","WASHINGTON","10,488,524","2,363,286","0","1,353,125","8,119,566","969,630","2,839,939","4,060","2,655,800","1,607,107","30,401,037","2,761,424","0","33,162,461",
"2012","29","DES MOINES","6,513,829","1,324,918","4,903,365","1,561,153","4,649,931","999,017","3,205,160","0","681,510","1,859,844","25,698,727","2,137,697","0","27,836,424",
"2010","4","APPANOOSE","1,703,275","698,207","1,478,742","628,856","3,014,049","413,401","968,794","0","192,379","871,563","9,969,266","501,148","0","10,470,414",
"2023","78","POTTAWATTAMIE","36,336,318","4,994,326","0","8,387,819","15,179,980","2,253,073","15,064,603","0","3,510,689","9,589,639","95,316,447","10,684,906","0","106,001,353",
"2022","63","MARION","5,326,035","2,829,540","1,472,297","2,276,688","7,366,426","858,419","4,274,739","0","967,988","12,713,528","38,085,660","3,016,449","0","41,102,109",
